Strategy,k = 30
"8v, 22c",[4.0; 4.5; 4.8]±0.3
"26v, 4c",[0.5; 1.4; 3.5]±0.8
"4c, 26v",[0.0; 0.8; 3.6]±1.0
"18v, 12c",[1.2; 2.7; 4.7]±0.9
"8c, 22v",[0.0; 1.4; 4.3]±1.2
"22c, 8v",[3.8; 4.2; 4.4]±0.2
"12v, 18c",[3.0; 3.8; 4.8]±0.6
"6v, 24c",[4.5; 4.8; 6.0]±0.3
"4v, 26c",[6.0; 6.0; 6.0]±0.0
"16v, 14c",[1.8; 3.0; 4.7]±0.8
"2v, 28c",[6.0; 6.0; 6.0]±0.0
"20v, 10c",[1.1; 2.2; 4.0]±0.8
"22v, 8c",[0.8; 1.9; 4.4]±0.8
"2c, 28v",[0.0; 1.0; 3.0]±0.9
"28c, 2v",[5.9; 5.9; 6.0]±0.1
"14v, 16c",[2.5; 3.2; 4.7]±0.6
"20c, 10v",[2.7; 3.4; 4.4]±0.7
"12c, 18v",[0.7; 1.9; 4.3]±0.9
"10v, 20c",[3.5; 4.2; 4.8]±0.4
∞v,[0.2; 0.9; 3.0]±0.6
,[0.0; 1.0; 3.3]±0.8
"26c, 4v",[5.7; 5.8; 6.0]±0.2
"6c, 24v",[0.0; 0.9; 4.0]±1.1
"10c, 20v",[0.4; 1.8; 4.4]±1.1
"16c, 14v",[2.2; 2.8; 4.3]±0.6
"24v, 6c",[0.8; 1.8; 4.4]±0.9
"14c, 16v",[1.0; 2.5; 4.4]±1.1
"28v, 2c",[0.5; 1.1; 3.0]±0.7
"18c, 12v",[2.4; 3.3; 4.4]±0.8
"24c, 6v",[4.2; 4.3; 4.4]±0.0
